account_id,applicant_id,account_type,currency,opening_balance
AC-001-CUR,APP-001,current,GBP,1448.48
AC-002-CUR,APP-002,current,GBP,404.53
AC-003-CUR,APP-003,current,GBP,666.1
AC-004-CUR,APP-004,current,GBP,964.69
AC-005-CUR,APP-005,current,GBP,1762.97
AC-006-CUR,APP-006,current,GBP,1342.95
AC-007-CUR,APP-007,current,GBP,1685.06
AC-008-CUR,APP-008,current,GBP,1762.69
AC-009-CUR,APP-009,current,GBP,412.81
AC-010-CUR,APP-010,current,GBP,400.63
AC-011-CUR,APP-011,current,GBP,2453.94
AC-012-CUR,APP-012,current,GBP,1113.42
AC-013-CUR,APP-013,current,GBP,817.13
AC-014-CUR,APP-014,current,GBP,2408.96
AC-014-SAV,APP-014,savings,GBP,2133.08
AC-015-CUR,APP-015,current,GBP,1223.6
AC-016-CUR,APP-016,current,GBP,1656.25
AC-017-CUR,APP-017,current,GBP,1539.45
AC-018-CUR,APP-018,current,GBP,641.77
AC-019-CUR,APP-019,current,GBP,1835.84
AC-020-CUR,APP-020,current,GBP,1231.98
AC-021-CUR,APP-021,current,GBP,1247.61
