transaction_id,account_id,applicant_id,date,description,amount,raw_type,balance_after,true_category
TX-001-00002,AC-001-CUR,APP-001,2026-01-01,RENT PROPERTYCO,-1100.0,DD,348.48,rent_mortgage
TX-001-00007,AC-001-CUR,APP-001,2026-01-03,LIDL,-116.69,DEB,231.79,groceries
TX-001-00017,AC-001-CUR,APP-001,2026-01-03,PRET A MANGER,-19.61,DEB,212.18,dining
TX-001-00016,AC-001-CUR,APP-001,2026-01-04,DELIVEROO,-15.48,DEB,196.7,dining
TX-001-00018,AC-001-CUR,APP-001,2026-01-04,NANDOS,-13.46,DEB,183.24,dining
TX-001-00003,AC-001-CUR,APP-001,2026-01-05,EDF ENERGY,-105.0,DD,78.24,utilities
TX-001-00022,AC-001-CUR,APP-001,2026-01-05,VUE CINEMA,-39.89,DEB,38.35,entertainment
TX-001-00004,AC-001-CUR,APP-001,2026-01-06,BRITISH GAS,-70.0,DD,-31.65,utilities
TX-001-00005,AC-001-CUR,APP-001,2026-01-07,LB COUNCIL TAX,-160.0,DD,-191.65,council_tax
TX-001-00021,AC-001-CUR,APP-001,2026-01-09,VUE CINEMA,-8.54,DEB,-200.19,entertainment
TX-001-00006,AC-001-CUR,APP-001,2026-01-10,DIRECT LINE INSURANCE,-70.0,DD,-270.19,insurance
TX-001-00008,AC-001-CUR,APP-001,2026-01-10,TESCO STORES,-77.71,DEB,-347.9,groceries
TX-001-00009,AC-001-CUR,APP-001,2026-01-17,ALDI,-105.95,DEB,-453.85,groceries
TX-001-00011,AC-001-CUR,APP-001,2026-01-18,STAGECOACH BUS,-47.97,DEB,-501.82,transport
TX-001-00020,AC-001-CUR,APP-001,2026-01-19,ARGOS,-82.96,DEB,-584.78,shopping
TX-001-00015,AC-001-CUR,APP-001,2026-01-21,JUST EAT,-31.42,DEB,-616.2,dining
TX-001-00012,AC-001-CUR,APP-001,2026-01-22,TFL TRAVEL,-41.3,DEB,-657.5,transport
TX-001-00013,AC-001-CUR,APP-001,2026-01-22,SPOTIFY,-8.47,DEB,-665.97,subscriptions
TX-001-00010,AC-001-CUR,APP-001,2026-01-24,LIDL,-101.39,DEB,-767.36,groceries
TX-001-00019,AC-001-CUR,APP-001,2026-01-24,DELIVEROO,-8.89,DEB,-776.25,dining
TX-001-00014,AC-001-CUR,APP-001,2026-01-25,AMAZON PRIME,-7.65,DEB,-783.9,subscriptions
TX-001-00023,AC-001-CUR,APP-001,2026-01-26,TRANSFER TO SAVINGS,-300.0,TFR,-1083.9,savings
TX-001-00001,AC-001-CUR,APP-001,2026-01-28,BLUEBIRD MEDIA PAYROLL,4405.75,BGC,3321.85,income
TX-001-00025,AC-001-CUR,APP-001,2026-02-01,RENT PROPERTYCO,-1100.0,DD,2221.85,rent_mortgage
TX-001-00037,AC-001-CUR,APP-001,2026-02-01,TRAINLINE,-62.6,DEB,2159.25,transport
TX-001-00042,AC-001-CUR,APP-001,2026-02-02,JUST EAT,-18.91,DEB,2140.34,dining
TX-001-00030,AC-001-CUR,APP-001,2026-02-03,TESCO STORES,-86.02,DEB,2054.32,groceries
TX-001-00026,AC-001-CUR,APP-001,2026-02-05,EDF ENERGY,-105.0,DD,1949.32,utilities
TX-001-00027,AC-001-CUR,APP-001,2026-02-06,BRITISH GAS,-70.0,DD,1879.32,utilities
TX-001-00034,AC-001-CUR,APP-001,2026-02-06,TFL TRAVEL,-41.24,DEB,1838.08,transport
TX-001-00028,AC-001-CUR,APP-001,2026-02-07,LB COUNCIL TAX,-160.0,DD,1678.08,council_tax
TX-001-00043,AC-001-CUR,APP-001,2026-02-07,PRET A MANGER,-28.03,DEB,1650.05,dining
TX-001-00029,AC-001-CUR,APP-001,2026-02-10,DIRECT LINE INSURANCE,-70.0,DD,1580.05,insurance
